,theta,d,samples,acc_prob,acc_pl
455,10.0,6,5,0.0014994974176105048,0.0015880886621479765
456,10.0,6,6,0.002046732866673466,0.0036600305592714194
457,10.0,6,7,0.001983288146485884,0.004337367328766754
458,10.0,6,8,0.0026185077320813608,0.0026736407888621806
459,10.0,6,9,0.00305859017209975,0.00254815467530868
460,10.0,7,0,0.0024200125644996536,0.0027390054201800866
461,10.0,7,1,0.0022201104755577234,0.003279252412002661
462,10.0,7,2,0.0017579295181490914,0.0027559457863931868
463,10.0,7,3,0.002294777665470807,0.002919058402236925
464,10.0,7,4,0.002376953419260543,0.002962090678425363
465,10.0,7,5,0.0013600639931553255,0.003039225252760807
466,10.0,7,6,0.0026223033713799787,0.002895931870681511
467,10.0,7,7,0.0030032487270816297,0.0026767415211812824
468,10.0,7,8,0.0020603156798604267,0.0029654916281282866
469,10.0,7,9,0.00339373506043375,0.0024361827274928293
